course_code,section,instructor,day,time,room
CSE216,3,Mr. Md. Siratul Mustakim Ifty,Monday,01:00-03:00,105
EEE102,1,Mr. S.M. Baque Billah,Monday,03:00-04:45,105
EEE102,1,Mr. S.M. Baque Billah,Monday,03:00-04:45,105
EEE102,1,Mr. S.M. Baque Billah,Monday,03:00-04:45,105
EEE214,2,Mr. Kazi Muhammad Asif Ashrafi,Monday,11:00-01:00,106
EEE214,2,Mr. Kazi Muhammad Asif Ashrafi,Monday,01:00-03:00,106
EEE214,2,Mr. Kazi Muhammad Asif Ashrafi,Monday,03:00-04:45,106
EEE214,2,Mr. Kazi Muhammad Asif Ashrafi,Monday,03:00-04:45,106
EEE214,2,Mr. Kazi Muhammad Asif Ashrafi,Monday,03:00-04:45,106
PHY102,1,TBA,Monday,01:00-03:00,109
PHY102,1,TBA,Monday,03:00-04:45,109
PHY102,1,TBA,Monday,03:00-04:45,109
PHY102,1,TBA,Monday,03:00-04:45,109
CSE221,3,Mr. Md. Sabbir Al Ahsan,Tuesday,10:00-11:30,103
EEE219,2,TBA,Tuesday,11:30-01:00,103
EEE217,1,Mr. Ahamed- Al- Arifin,Tuesday,01:30-03:00,103
EEE303,1,Mr. Sanath Kumar Das,Tuesday,03:00-04:30,103
EEE213,7,TBA,Tuesday,11:30-01:00,107
EEE451,1,Mr. Md. Siratul Mustakim Ifty,Tuesday,01:30-03:00,107
